MOD,FO,05,CONSUL,NR
MOD,FO,06,CORTINA,NR
MOD,FO,07,ESCORT,M1
MOD,FO,08,FIESTA,B
MOD,FO,09,GRANADA,NR
MOD,FO,10,ORION,M1
MOD,FO,11,"P 100",NR
MOD,FO,12,SCORPIO,H
MOD,FO,13,SIERRA,M2
MOD,FO,14,TAUNUS,NR
MOD,FO,15,TRANSIT,K2
MOD,FO,16,COURRIER,M1
MOD,FO,17,A0406,NR
MOD,FO,18,A0409,NR
MOD,FO,19,A0408,K2
MOD,FO,20,A0410,NR
MOD,FO,21,MONDEO,M2
MOD,FO,22,EXPLORER,H
MOD,FO,23,MAVERICK,H
MOD,FO,24,PROBE,H
MOD,FO,25,GALAXY,H
MOD,FO,26,KA,A
MOD,FO,27,PUMA,M1
MOD,FO,28,FOCUS,M1
MOD,FO,29,COUGAR,H
MOD,FO,30,RANGER,K2
MOD,FO,31,FUSION,M1
MOD,FO,32,"TRANSIT CONNECT",K1
MOD,FO,33,"TOURNEO CONNECT",M1
MOD,FO,34,"FOCUS C-MAX",M1
MOD,FO,35,S-MAX,H
MOD,FO,36,KUGA,M1
MOD,FO,37,TOURNEO,K2
MOD,FO,38,B-MAX,M1
MOD,FO,39,"TRANSIT CUSTOM",K2
MOD,FO,40,"TOURNEO CUSTOM",K2
MOD,FO,41,ECOSPORT,B
MOD,FO,42,"TRANSIT VI",K2
MOD,FO,43,"TRANSIT COURIER",K1
MOD,FO,44,"TOURNEO COURIER",M1
MOD,FO,45,MONDEO*,M2
MOD,FO,46,MUSTANG,H
MOD,FO,47,EDGE,M2
MOD,FO,48,KA+,B
MOD,FO,49,"FOCUS IV",M1
MOD,FO,50,"PUMA II",M1
MOD,FO,51,"KUGA III",M1
MOD,FO,52,"MUSTANG MACH-E",H
MOD,FO,53,"TOURNEO CONNECT III",M1
MOD,FP,01,LINDA,NR
MOD,FP,02,POLONEZ,M1
MOD,FP,03,125,NR
MOD,FP,04,125P,M1
MOD,FP,05,1500,NR
MOD,FP,06,TRUCK,NR
MOD,FP,07,CARO,M2
MOD,FP,08,ATOU,M2
MOD,FR,01,ROMA,H
MOD,GC,01,GA,K2
MOD,GC,02,WAY,K1
MOD,GM,01,MIDI,NR
MOD,GM,02,RASCAL,NR
MOD,GR,01,DALLAS,NR
MOD,HD,01,PONY,M1
MOD,HD,02,SONATA,H
MOD,HD,03,LANTRA,M2
MOD,HD,04,SCOUPE,M1
MOD,HD,05,H100,K1
MOD,HD,06,COUPE,M1
MOD,HD,07,ATOS,A
MOD,HD,08,SATELLITE,H
MOD,HD,09,GALLOPER,H
MOD,HD,10,ACCENT,M1
MOD,HD,11,XG,H
MOD,HD,12,H-1,K1
MOD,HD,13,TRAJET,H
MOD,HD,14,ELANTRA,M2
MOD,HD,15,"SANTA FE",H
MOD,HD,16,TERRACAN,H
MOD,HD,17,MATRIX,M1
MOD,HD,18,GETZ,B
MOD,HD,19,TUCSON,H
MOD,HD,20,AZERA,H
MOD,HD,21,I30,M1
MOD,HD,22,I10,A
MOD,HD,23,IX55,H
MOD,HD,24,I20,B
MOD,HD,25,IX35,M2
MOD,HD,26,GENESIS,H
MOD,HD,27,IX20,M1
MOD,HD,28,VELOSTER,M1
MOD,HD,29,I40,M2
MOD,HD,30,IONIQ,M2
MOD,HD,31,KONA,B
MOD,HD,32,"I10 III",A
MOD,HD,33,"I20 III",B
MOD,HD,34,"TUCSON IV",H
MOD,HD,35,"IONIQ 5",M2
MOD,HD,36,BAYON,B
MOD,HD,37,NEXO,H
MOD,HO,01,ACCORD,H
MOD,HO,02,ACTY,NR
MOD,HO,03,CIVIC,M1
MOD,HO,04,CONCERTO,M2
MOD,HO,05,LEGEND,H
MOD,HO,06,N360,NR
MOD,HO,07,PRELUDE,H
MOD,HO,08,QUINTET,NR
MOD,HO,09,NSX,H
MOD,HO,10,CRX,M1
MOD,HO,11,SHUTTLE,H
MOD,HO,12,CRV,H
MOD,HO,13,INTEGRA,M2
MOD,HO,14,HR-V,M2
MOD,HO,15,LOGO,A
MOD,HO,16,S2000,M2
MOD,HO,17,STREAM,M2
MOD,HO,18,JAZZ,B
MOD,HO,19,FR-V,M1
MOD,HO,20,INSIGHT,M2
MOD,HO,21,CR-Z,M1
MOD,HO,22,"CRV V",H
MOD,HO,23,"JAZZ IV",B
MOD,HO,24,"HONDA E",B
MOD,HO,25,"HR-V III",M2
MOD,IA,01,ELECTRIC,A
MOD,IF,01,FX,H
MOD,IF,02,G,H
MOD,IF,03,EX,H
MOD,IF,04,M,H
MOD,IF,05,Q50,H
MOD,IF,06,Q60,H
MOD,IF,07,QX70,H
MOD,IF,08,QX50,H
MOD,IF,09,Q70,H
MOD,IF,10,Q30,M2
MOD,IF,11,QX30,M2
MOD,IN,01,"DE TOMASO",NR
MOD,IN,02,MINI,NR
MOD,IN,03,MINIMATIC,NR
MOD,IN,04,1000,NR
MOD,IN,05,1100,NR
MOD,IN,06,2200,NR
MOD,IN,07,500,NR
MOD,IN,08,650,NR
MOD,IN,09,90,NR
MOD,IN,10,990,NR
MOD,IS,01,TROOPER,H
MOD,IS,02,"SERIE N",K2
MOD,IS,03,D-MAX,K2
MOD,IU,01,DAILY,K2
MOD,IU,02,MASSIF,M2
MOD,JA,01,E,NR
MOD,JA,02,SOVEREIGN,H
MOD,JA,03,XJ,H
MOD,JA,04,XJS,H
MOD,JA,05,XJSC,H
MOD,JA,06,XJ6,H
MOD,JA,07,420,H
MOD,JA,08,XJR,H
MOD,JA,09,V12,H
MOD,JA,10,XK8,H
MOD,JA,11,XJ8,H
MOD,JA,12,S-TYPE,H
MOD,JA,13,X-TYPE,H
MOD,JA,14,XK,H
MOD,JA,15,XF,H
MOD,JA,16,F-TYPE,H
MOD,JA,17,XE,M2
MOD,JA,18,F-PACE,H
MOD,JA,19,E-PACE,M1
MOD,JA,20,I-PACE,H
MOD,JP,01,WRANGLER,M2
MOD,JP,02,CHEROKEE,H
MOD,JP,03,"GRAND CHEROKEE",H
MOD,JP,04,COMMANDER,H
MOD,JP,05,COMPASS,M2
MOD,JP,06,PATRIOT,M2
MOD,JP,07,RENEGADE,M1
MOD,JP,08,"WRANGLER IV",M2
MOD,JP,09,GLADIATOR,K2
MOD,KA,01,BESTA,K1
MOD,KA,02,SEPHIA,M2
MOD,KA,03,SPORTAGE,H
MOD,KA,04,CLARUS,H
MOD,KA,05,PRIDE,B
MOD,KA,06,PREGIO,K1
MOD,KA,07,SHUMA,M2
MOD,KA,08,CARNIVAL,H
MOD,KA,09,SORENTO,H
MOD,KA,10,RIO,M1
MOD,KA,11,CARENS,M1
MOD,KA,12,MAGENTIS,H
MOD,KA,13,OPIRUS,H
MOD,KA,14,PICANTO,A
MOD,KA,15,CERATO,M2
MOD,KA,16,CEED,M1
MOD,KA,17,SOUL,M1
MOD,KA,18,VENGA,M1
MOD,KA,19,OPTIMA,H
MOD,KA,20,NIRO,M1
MOD,KA,21,STONIC,B
MOD,KA,22,STINGER,M2
MOD,KA,23,"CEED III",M1
MOD,KA,24,E-SOUL,M1
MOD,KA,25,"SORENTO IV",H
MOD,KA,26,EV6,H
MOD,KA,27,"SPORTAGE V",H
MOD,LA,01,BETA,NR
MOD,LA,02,DEDRA,M2
MOD,LA,03,DELTA,M1
MOD,LA,04,FLAMINIA,NR
MOD,LA,05,FLAVIA,M2
MOD,LA,06,FULVIA,NR
MOD,LA,07,GAMMA,NR
MOD,LA,08,PRISMA,M2
MOD,LA,09,THEMA,H
MOD,LA,10,TREVI,NR
MOD,LA,11,Y10,A
MOD,LA,12,KAPPA,H
